"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SYGG6YPL","journalArticle","1962","Eyman, R. K.; Dingman, H. F.; Meyers, C. E.","Comparison of Some Computer Techniques for Factor Analytic Rotation","Educational and Psychological Measurement","","0013-1644, 1552-3888","10.1177/001316446202200124","https://journals.sagepub.com/doi/10.1177/001316446202200124","","1962-03","2025-05-07 00:04:59","2025-10-16 09:56:02","2025-05-07 00:04:59","201-214","","1","22","","Educational and Psychological Measurement","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/ZZN76TNV/Eyman et al. - 1962 - Comparison of Some Computer Techniques for Factor .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELFLAFAI","journalArticle","1963","Baker, Frank B.","Generalized Item and Test Analysis Program— A Program for the Control Data 1604 Computer","Educational and Psychological Measurement","","0013-1644, 1552-3888","10.1177/001316446302300117","https://journals.sagepub.com/doi/10.1177/001316446302300117","","1963-04","2025-05-06 23:37:23","2025-05-06 23:39:54","2025-05-06 23:37:23","187-190","","1","23","","Educational and Psychological Measurement","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/L5JQT8NP/Baker - 1963 - Generalized Item and Test Analysis Program— A Prog.pdf","","Discipline: Psychology; Computer: CDC 1604; Program: Generalized Item and Test Analysis Program (GITAP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4P5IB2W6","journalArticle","1961","Cohen, Kalman J.; Cyert, Richard M.","Computer Models in Dynamic Economics","The Quarterly Journal of Economics","","00335533","10.2307/1883207","https://academic.oup.com/qje/article-lookup/doi/10.2307/1883207","","1961-02","2025-05-13 23:21:24","2025-05-14 02:33:43","2025-05-13 23:21:24","112","","1","75","","The Quarterly Journal of Economics","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/P3U3GNMZ/Cohen and Cyert - 1961 - Computer Models in Dynamic Economics.pdf","","Discipline: Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUIXD4NH","journalArticle","1964","Suttor, Richard E.; Crom, Richard J.","Computer Models and Simulation","Journal of Farm Economics","","10711031","10.2307/1236728","https://academic.oup.com/ajae/article-lookup/doi/10.2307/1236728","","1964-12","2025-05-13 23:29:45","2025-07-02 23:11:30","2025-05-13 23:29:45","1341","","5","46","","Journal of Farm Economics","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/LW5TD3TQ/Suttor and Crom - 1964 - Computer Models and Simulation.pdf","","Discipline: Economics; Computer: IBM 7074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IYHABS9","journalArticle","1969","Mitroff, Ian I.","Fundamental Issues in the Simulation of Human Behavior: A Case in the Strategy of Behavioral Science","Management Science","","0025-1909, 1526-5501","10.1287/mnsc.15.12.B635","https://pubsonline.informs.org/doi/10.1287/mnsc.15.12.B635","Every scientific study has its own unique case history. Unfortunately, most scientific papers present a greatly distorted and static image of the true history and sociology of a research project. This paper represents an attempt to report on selected aspects of the actual growth and development of a simulation project, especially as that process affected the development of a novel method for validating simulation models. The paper also represents a philosophical analysis of the concept of simulation, especially as that analysis formed an integral part of the study's development.             One of the paper's main theses is that the teleology or purpose behind the construction of a simulation model is an ever present task-master guiding and influencing all the phases of a model's construction and validation. A general thesis is that a researcher's philosophy of science is as characteristic of him (i.e., his psychology) as it is of the phenomena he typically studies. The implications of these theses are illustrated in terms of the simulation of the engineering design behavior of a practicing mechanical engineer.","1969-08","2025-05-13 23:31:30","2025-05-14 04:53:30","2025-05-13 23:31:30","B-635-B-649","","12","15","","Management Science","Fundamental Issues in the Simulation of Human Behavior","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/KTDTYSQC/Mitroff - 1969 - Fundamental Issues in the Simulation of Human Beha.pdf","","Computer programme rather than computer; Program: DESIGN; Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SWCUFAT","journalArticle","1965","Zusman, Pinhas; Amiad, Amotz","Simulation: A Tool for Farm Planning under Conditions of Weather Uncertainty","Journal of Farm Economics","","10711031","10.2307/1236274","https://academic.oup.com/ajae/article-lookup/doi/10.2307/1236274","","1965-08","2025-05-13 23:33:55","2025-07-02 23:11:40","2025-05-13 23:33:55","574","","3","47","","Journal of Farm Economics","Simulation","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/FECPUBPX/Zusman and Amiad - 1965 - Simulation A Tool for Farm Planning under Conditi.pdf","","Discipline: Economics; Computer: IBM 1620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NX5GQQZI","journalArticle","1961","Steger, Wilbur A.","Simulation and Tax Analysis: A Research Proposal","National Tax Journal","","0028-0283, 1944-7477","10.1086/NTJ41790854","https://www.journals.uchicago.edu/doi/10.1086/NTJ41790854","","1961-09-01","2025-05-14 00:14:13","2025-09-30 02:49:16","2025-05-14 00:14:13","286-301","","3","14","","National Tax Journal","Simulation and Tax Analysis","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/EAS43SK7/Steger - 1961 - SIMULATION AND TAX ANALYSIS A RESEARCH PROPOSAL.pdf","","Discipline: Taxation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATSALYGD","journalArticle","1962","Rauner, Robert M.; Steger, Wilbur A.","Simulation and Long-Range Planning for Resource Allocation","The Quarterly Journal of Economics","","00335533","10.2307/1880817","https://academic.oup.com/qje/article-lookup/doi/10.2307/1880817","","1962-05","2025-05-14 00:07:39","2025-07-02 23:10:13","2025-05-14 00:07:39","219","","2","76","","The Quarterly Journal of Economics","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/BAT3GID4/Rauner and Steger - 1962 - Simulation and Long-Range Planning for Resource Al.pdf","","Discipline: Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BN6LVGZI","journalArticle","1964","Weiss, Doyle L.","Simulation for Decision Making in Marketing","Journal of Marketing","","0022-2429, 1547-7185","10.1177/002224296402800310","https://journals.sagepub.com/doi/10.1177/002224296402800310","Simulation is an approach to problem solving which has as its focus the construction and study of computer models as descriptions of the problem being analyzed.             Its usefulness in marketing comes from the fact that problems too complicated for analysis by conventional methods may be solved. The author gives several examples of how this is coming true.","1964-07","2025-05-14 00:06:26","2025-07-03 02:00:00","2025-05-14 00:06:26","45-50","","3","28","","Journal of Marketing","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/QTCAV7IM/Weiss - 1964 - Simulation for Decision Making in Marketing.pdf","","Discipline: Marketing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NR5NBXLJ","journalArticle","1969","Manderscheid, Lester V.; Nelson, Glenn L.","A FRAMEWORK FOR VIEWING SIMULATION","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","","0008-3976, 1744-7976","10.1111/j.1744-7976.1969.tb02467.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1744-7976.1969.tb02467.x","This expository article is designed to provide the agricultural economist with an introduction to simulation models. An intellectual framework is suggested to assist the reader in relating the several types of models that may be encountered in the literature. The Monte Carlo technique for experimentation with stochastic models is emphasized because of its potential usefulness.             UN EXPOSE DES MODELES DE SIMULA TION ‐ L'objet de cet article était de vous familiariser avec des modèles de conditions simulées. Le raisonnement propose devrait aider les lecteurs à se faire une idée des divers modèles qui surgissent dans ces écrits. A cause de son utilité, la technique Monte Carlo est soulignée comme expérimentation.","1969-02","2025-05-14 00:15:16","2025-07-02 23:11:25","2025-05-14 00:15:16","33-41","","1","17","","Canadian J Agri Economics","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/8755YMY2/Manderscheid and Nelson - 1969 - A FRAMEWORK FOR VIEWING SIMULATION.pdf","","Discipline: Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CFS6TS5","journalArticle","1965","Hanon, Bernard","The Use of Simulation in the Analysis of Business Systems","American Behavioral Scientist","","0002-7642, 1552-3381","10.1177/000276426500800903","https://journals.sagepub.com/doi/10.1177/000276426500800903","","1965-05","2025-05-14 00:16:53","2025-05-14 05:17:59","2025-05-14 00:16:53","4-7","","9","8","","American Behavioral Scientist","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/K4NRLQML/Hanon - 1965 - The Use of Simulation in the Analysis of Business .pdf","","Discipline: Behavioural science; Discipline: Management Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDJ49DZ3","journalArticle","1959","Adelman, Irma; Adelman, Frank L.","The Dynamic Properties of the Klein-Goldberger Model","Econometrica","","00129682","10.2307/1909353","https://www.jstor.org/stable/1909353?origin=crossref","","1959-10","2025-05-14 00:24:26","2025-05-14 05:20:26","2025-05-14 00:24:26","596","","4","27","","Econometrica","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/Y39XGA3J/Adelman and Adelman - 1959 - The Dynamic Properties of the Klein-Goldberger Mod.pdf","","Discipline: Economics; Computer: IBM 650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNKZNJGP","journalArticle","1950","Morehouse, N. F.; Strotz, R. H.; Horwitz, S. J.","An Electro-Analog Method for Investigating Problems in Economic Dynamics: Inventory Oscillations","Econometrica","","00129682","10.2307/1907832","https://www.jstor.org/stable/1907832?origin=crossref","","1950-10","2025-05-14 00:32:58","2025-10-15 23:30:04","2025-05-14 00:32:58","313","","4","18","","Econometrica","An Electro-Analog Method for Investigating Problems in Economic Dynamics","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/K58D8L9W/Morehouse et al. - 1950 - An Electro-Analog Method for Investigating Problem.pdf","","Discipline: Economics; Computer: Aeracom Analog Computer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WNVHBPN","book","1961","Orcutt, Guy H; Greenberger, Martin; Korbel, John; Rivlin, Alice M","Microanalysis of Socioeconomic systems: A simulation study","","","","","","","1961","2025-05-14 02:34:13","2025-07-02 23:22:23","","","425","","","","","","","","","","","","","","","","","","","","","/Users/falk/Zotero/storage/ITITL6GN/Orcutt et al. - Microanalysis of Socioeconomic systems A simulati.pdf","","Discipline: Economics; Computer: IBM 704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCSJQLAL","journalArticle","1968","Tyner, Fred H.; Tweeten, Luther G.","Simulation as a Method of Appraising Farm Programs","American Journal of Agricultural Economics","","0002-9092, 1467-8276","10.2307/1237872","https://onlinelibrary.wiley.com/doi/10.2307/1237872","Abstract             Simulation has been used extensively in the management sciences as a complement to more conventional methods of analysis. The procedure has also been applied in analyses of various sectors of the agricultural industry. Simulation can include time lags, nonlinearities, and recursive or reactive effects—without the restrictive assumption of an “optimum” solution. Consequently, it should find increasing application in the study of the effects of farm program alternatives. Simulation is used in this article to portray the workings of an economic model of the U.S. agricultural industry for the years 1930–1960. One simulation describes the levels of key dependent variables throughout the period, as a measure of the model's predictive ability. These results are used to evaluate a second simulation, which assumes no government diversions of commodities or cropland acreage and no payments to farmers.","1968-02","2025-05-14 05:15:38","2025-07-02 23:11:37","2025-05-14 05:15:38","66-81","","1","50","","American J Agri Economics","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/CKPRPJTX/Tyner and Tweeten - 1968 - Simulation as a Method of Appraising Farm Programs.pdf","","Discipline: Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YIB7AC4","journalArticle","1957","Shiskin, Julius","Electronic Computers and Business Indicators","The Journal of Business","","0021-9398, 1537-5374","10.1086/294150","https://www.jstor.org/stable/2350731","","1957-01","2025-05-14 05:32:26","2025-10-15 23:48:02","2025-05-14 05:32:26","219","","4","30","","J BUS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/5UAP9Y8U/Shiskin-ElectronicComputersBusiness-1957.pdf","","Discipline: Economics; Computer: Univac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FPR9LP3","journalArticle","1964","Lee, Hak Chong","On Information Technology and Organization Structure.","Academy of Management Journal","","0001-4273, 1948-0989","10.2307/255168","http://amj.aom.org/cgi/doi/10.2307/255168","","1964-09-01","2025-05-14 05:37:48","2025-05-14 05:38:54","2025-05-14 05:37:48","204-210","","3","7","","Academy of Management Journal","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/T2G8742C/Lee - 1964 - On Information Technology and Organization Structu.pdf","","Computer: IBM 705; Discipline: Management Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI7G3KXD","journalArticle","1959","Weber, C. Edward","Change in Managerial Manpower with Mechanization of Data-Processing","The Journal of Business","","0021-9398, 1537-5374","10.1086/294251","https://www.jstor.org/stable/2350632","","1959-01","2025-05-14 05:51:14","2025-05-14 05:52:15","2025-05-14 05:51:14","151","","2","32","","J BUS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/9UKI2IMD/Weber - 1959 - Change in Managerial Manpower with Mechanization o.pdf","","Computer: Univac; Discipline: Business; Computer: IBM 650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XX2GD3W","journalArticle","1963","Ijiri, Y.; Levy, F. K.; Lyon, R. C.","A Linear Programming Model for Budgeting and Financial Planning","Journal of Accounting Research","","00218456","10.2307/2489855","https://www.jstor.org/stable/10.2307/2489855?origin=crossref","","1963","2025-05-14 05:59:12","2025-05-14 06:00:44","2025-05-14 05:59:12","198","","2","1","","Journal of Accounting Research","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/YY96PS55/Ijiri et al. - 1963 - A Linear Programming Model for Budgeting and Finan.pdf","","Computer: Bendix G-20; Discipline: Accounting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MFYR7JMS","journalArticle","1963","Dill, William R.; Doppelt, Neil","The Acquisition of Experience in a Complex Management Game","Management Science","","0025-1909, 1526-5501","10.1287/mnsc.10.1.30","https://pubsonline.informs.org/doi/10.1287/mnsc.10.1.30","This study was undertaken to evaluate a complex management simulation exercise as an environment for learning. The exercise was the Carnegie Tech Management Game; the players were students in a graduate management program who played the game. Players reported learning many kinds of things from their experience, but learning derived more from interpersonal interactions with other players and with outside groups like boards of directors than from interaction with the game model itself. Players may learn more about recognizing problems for future attention than about solutions of problems that can be applied in new situations. The kinds and amounts of learning vary with the length of game play, with team success or failure, and with individual job assignment on the team. They do not vary with measures of status on the team.","1963-10","2025-05-14 06:00:50","2025-05-14 06:05:55","2025-05-14 06:00:50","30-46","","1","10","","Management Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/DBDDSVIJ/Dill and Doppelt - 1963 - The Acquisition of Experience in a Complex Managem.pdf","","Discipline: Management Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RUQPTJ9","journalArticle","1963","Cohen, Kalman J.; Miller, Merton H.","Management games, information processing and control","Management International","","","","https://www.jstor.org/stable/40225492","","1963","2025-05-14 06:09:39","2025-10-16 10:03:07","","159-177","","3/4","3","","","","","","","","","","","","","","","","","","","/Users/falk/Zotero/storage/RUP9NYLK/Cohen and Miller - 1963 - Management games, information processing and contr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YKSRX8DV","journalArticle","1961","Haines, G.; Heider, F.; Remington, D.","The Computer as a Small-Group Member","Administrative Science Quarterly","","00018392","10.2307/2390707","https://www.jstor.org/stable/2390707?origin=crossref","","1961-12","2025-05-14 06:15:48","2025-05-14 06:19:53","2025-05-14 06:15:48","360","","3","6","","Administrative Science Quarterly","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/ET3ZYJ5M/Haines et al. - 1961 - The Computer as a Small-Group Member.pdf","","Computer: IBM 650; Discipline: Organizational behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78BZQHD4","journalArticle","1960","Reiss, Richard F.","The Digital Simulation of Neuro-MuscularOrganisms","Behavioral Science","","00057940, 10991743","10.1002/bs.3830050410","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830050410","","1960-10","2025-05-20 22:55:03","2025-07-17 04:24:45","2025-05-20 22:55:03","343-358","","4","5","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/XSV5N4XJ/Reiss - 1960 - The Digital Simulation of Neuro-MuscularOrganisms.pdf","","Computer: IBM 650; Discipline: Behavioural science; Computer: IBM 709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49RY97Q7","journalArticle","1961","Zimmer, Herbert","Preparing Psychophysiologic Analog Information for the Digital Cornputer","Behavioral Science","","00057940, 10991743","10.1002/bs.3830060212","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830060212","","1961-04","2025-05-20 23:46:51","2025-07-17 06:51:42","2025-05-20 23:46:51","161-169","","2","6","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/IAAFUA4L/Zimmer - 1961 - Computers in behavioral science.pdf","","Discipline: Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DHLHMCF","journalArticle","1961","Smith, Philip A.","Some Problems and Approaches to Automation of Medical Diagnosis","Behavioral Science","","00057940, 10991743","10.1002/bs.3830060114","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830060114","","1961-01","2025-05-20 23:19:30","2025-07-17 04:44:46","2025-05-20 23:19:30","88-91","","1","6","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/P6YJ98S7/Smith - 1961 - Some Problems and Approaches to Automation of Medical Diagnosis.pdf","","Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QRJTCVWP","journalArticle","1961","Coulson, John E.","Symposium: The use of computers on psychological research","Behavioral Science","","00057940, 10991743","10.1002/bs.3830060311","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830060311","","1961-07","2025-05-20 23:48:53","2025-07-16 01:33:19","2025-05-20 23:48:53","252-270","","3","6","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/W2GKA4CA/Coulson - 1961 - Symposium The use of computers on psychological r.pdf","","Computer: Bendix G-15; Discipline: Psychology; Computer: IBM 650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RM9GQKKU","journalArticle","1961","Bonato, Roland R.","A General Cross-Classification Program for Digital Computers","Behavioral Science","","00057940, 10991743","10.1002/bs.3830060413","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830060413","","1961-10","2025-05-20 23:51:20","2025-07-18 01:31:57","2025-05-20 23:51:20","347-372","","4","6","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/FEH6Q6AC/Bonato - 1961 - Computers in behavioral science.pdf","","Not a specific discipline; Computer: IBM 704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMIVKHPR","journalArticle","1962","Feigenbaum, Edward A.","An experimental course in simulation of cognitive processes","Behavioral Science","","00057940, 10991743","10.1002/bs.3830070210","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830070210","","1962-04","2025-05-21 01:47:55","2025-10-16 09:57:32","2025-05-21 01:47:55","244-245","","2","7","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/RKQM3AEN/Feigenbaum - 1962 - An experimental course in simulation of cognitive .pdf","","Computer: IBM 704; Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEAFS6G4","journalArticle","1962","Freeman, Linton C.","The Use of Simplified Programming Systems in IBM 650 Data Processing","Behavioral Science","","00057940, 10991743","10.1002/bs.3830070113","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830070113","","1962-01","2025-05-21 01:29:06","2025-07-16 05:18:28","2025-05-21 01:29:06","117-120","","1","7","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/VEY5BIZ4/Freeman - 1962 - The Use of Simplified Programming Systems in IBM 6.pdf","","Computer: IBM 650; Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9VHKGKXV","journalArticle","1962","Vandenberg, Steven G.; Green, Bert F.; Wrigley, Charles F.","A Survey of Computer Usage in Departments of Psychology and Sociology","Behavioral Science","","00057940, 10991743","10.1002/bs.3830070112","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830070112","","1962-01","2025-05-21 01:26:57","2025-05-21 04:40:33","2025-05-21 01:26:57","108-116","","1","7","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/93F86HHG/Vandenberg et al. - 1962 - A Survey of Computer Usage in Departments of Psych.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KP6WR92K","journalArticle","1959","Reitman, Walter R.","Heuristic Programs, Computer Simulation, and Higher Mental Processes","Behavioral Science","","00057940, 10991743","10.1002/bs.3830040408","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830040408","","1959-10","2025-05-21 00:55:33","2025-10-16 09:19:19","2025-05-21 00:55:33","330-335","","4","4","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/GGKV73XF/Reitman - 1959 - Computer in behavioral science.pdf","","Discipline: Psychology; Program: Multiple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEYC8EHU","journalArticle","1962","Wickelgren, Wayne A.","A simulation program for concept attainment by conservative focusing","Behavioral Science","","00057940, 10991743","10.1002/bs.3830070211","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830070211","","1962-04","2025-05-21 01:48:52","2025-07-17 06:46:15","2025-05-21 01:48:52","245-247","","2","7","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/93PAZRNK/Wickelgren - 1962 - A simulation program for concept attainment by con.pdf","","Discipline: Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RE6NAKB","journalArticle","1962","Allen, Max","A concept attainment program that simulates a simultaneous-scanning strategy","Behavioral Science","","00057940, 10991743","10.1002/bs.3830070212","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830070212","","1962-04","2025-05-21 01:49:35","2025-07-15 23:20:51","2025-05-21 01:49:35","247-250","","2","7","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/MCTVHF5Z/Allen - 1962 - A concept attainment program that simulates a simu.pdf","","Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8465YJQ","journalArticle","1962","Wyman, Robert","A nerve net simulation","Behavioral Science","","00057940, 10991743","10.1002/bs.3830070213","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830070213","","1962-04","2025-05-21 01:50:39","2025-07-17 06:49:06","2025-05-21 01:50:39","250-252","","2","7","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/8NYQZ9LG/Wyman - 1962 - A nerve net simulation.pdf","","Discipline: Psychology; Computer: IBM 704; Computer: IBM 7090","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDZCA2S4","journalArticle","1962","Hauer, Herbert","An IPL 5 program for formal integration using tables","Behavioral Science","","00057940, 10991743","10.1002/bs.3830070214","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830070214","","1962","2025-05-21 01:51:36","2025-07-16 07:04:02","2025-05-21 01:51:36","252-256","","2","7","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/HFCKWGLC/Hauer - 1962 - An IPL 5 program for formal integration using tabl.pdf","","Discipline: Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z24CETHR","journalArticle","1962","Horovitz, Mark W.","RECOG, A computer program for the automatic scanning of bubble chamber photographs","Behavioral Science","","00057940, 10991743","10.1002/bs.3830070215","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830070215","","1962-04","2025-05-21 01:52:31","2025-10-16 09:59:03","2025-05-21 01:52:31","256-257","","2","7","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/G8R6JAES/Horovitz - 1962 - RECOG, A computer program for the automatic scanni.pdf","","Program: RECOG; Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
